vlsr,spec_nearest,spec_0,spec_1,spec_2,spec_3,spec_4,spec_5,spec_6,spec_7,spec_8,spec_9,spec_10,spec_11
-8.440719836006098,13.751032997580154,9.97211875583093,12.611901120163036,7.828412538000695,4.656942936330077,7.567984373221442,5.712592913434421,6.845278407234037,6.37652866097574,11.735128433875765,8.633717369669675,7.273317290287399,8.549934850538977
-8.343855010314082,14.482420977424187,10.442199397450707,14.293382655041961,7.554568357197542,5.407444604861205,6.365171634034112,6.745689566618497,8.714764532700118,5.15965751677035,10.731837671566616,9.179587702865444,7.585315582798982,7.699064844833723
-8.246990184622064,15.16976934944101,10.917813799739683,15.944017684537625,7.309978996227009,6.164657038021741,5.231279535231276,7.784322607751024,10.53007722368428,3.985897173289383,9.760408588484223,9.721221107283462,7.896884207632037,6.871267723881337
-8.150125358930046,14.565289225193911,11.55575184832473,16.689821889457644,7.923531017012605,7.11871856697767,6.119059554372246,8.985356362037447,10.756302503199366,4.076720317724226,9.723588762719647,10.138571267553937,8.195849247228095,6.7202752223461495
-8.05326053323803,13.960809100946824,12.193689896909767,17.435626094377646,8.537083037798189,8.072780095933581,7.006839573513199,10.186390116323846,10.982527782714447,4.167543462159069,9.686768936955072,10.555921427824403,8.494814286824148,6.569282720810965
-7.956395707546012,13.356328976699725,12.831627945494812,18.181430299297666,9.150635058583784,9.026841624889508,7.894619592654168,11.387423870610267,11.208753062229531,4.258366606593912,9.649949111190496,10.973271588094878,8.793779326420207,6.418290219275779
-7.859530881853994,12.751848852452625,13.46956599407986,18.927234504217683,9.764187079369378,9.980903153845436,8.782399611795139,12.588457624896687,11.434978341744618,4.349189751028756,9.613129285425922,11.390621748365351,9.092744366016264,6.2672977177405915
-7.762666056161976,12.147368728205526,14.107504042664907,19.6730387091377,10.377739100154974,10.934964682801365,9.670179630936108,13.78949137918311,11.661203621259702,4.4400128954636,9.576309459661346,11.807971908635826,9.391709405612323,6.116305216205404
-7.66580123046996,10.877787533928373,13.288911389369593,17.2595153135412,10.465553470686372,10.568646917156146,10.605656829534787,13.07035369499057,12.57283911985509,7.332641330419788,9.147945366653744,12.532957020927874,10.780594507853182,7.32692327686384
-7.568936404777942,9.60081632776198,12.454135061608937,14.81088827793894,10.547526311770504,10.187658270459808,11.541663996794126,12.329880772592713,13.492090287551381,10.25640093527069,8.71523078178788,13.261360299353507,12.181589833012335,8.552670343768884
-7.472071579085924,8.323845121595586,11.619358733848282,12.362261242336679,10.629499152854637,9.806669623763469,12.477671164053465,11.589407850194855,14.411341455247673,13.180160540121594,8.282516196922016,13.98976357777914,13.582585158171486,9.778417410673928
-7.375206753393908,7.046873915429216,10.784582406087642,9.913634206734464,10.711471993938769,9.425680977067138,13.413678331312786,10.848934927797009,15.330592622943948,16.103920144972445,7.849801612056161,14.718166856204759,14.983580483330613,11.004164477578948
