vlsr,spec_nearest,spec_0,spec_1,spec_2,spec_3,spec_4,spec_5,spec_6,spec_7,spec_8,spec_9,spec_10,spec_11,spec_12,spec_13,spec_14,spec_15,spec_16,spec_17,spec_18,spec_19
30.312805907581136,-1.7612346531352427,-0.8294248863494421,-1.8041246671942865,-0.5726295952805575,-0.2905644013887665,-0.43814832732333475,-0.3408331115593872,2.9843182410410547,-0.13660391186318127,0.19137490949327196,0.13275855362828726,1.2092773409623145,0.20516633423319486,1.1815767211658208,-1.1068445031457106,-0.40187705879921776,-1.270973914903971,3.295218279752615,-2.5634016729199285,0.1457894742552065,0.8745356722572868
30.50671356076404,-2.425465968564333,-1.1475007854011028,-2.7249634326324053,-0.4970438633459144,-0.9279991017504732,-0.7998638456339812,-0.09787498887186019,2.7487127147021533,-0.2339522290970385,-0.14271192709786318,0.1078054129942447,1.1076803001367022,0.5323163554079955,1.4782537722894225,-1.1796021211842795,-0.8515319291857515,-1.8899769779733182,2.946366468563277,-2.256958110638813,-0.09405158979068795,0.9007521594232026
30.700621213946945,-2.142263847566307,-1.1475947362681729,-2.579506171669991,-0.37973351635133584,-0.6021128287938248,-0.47522660538861417,-0.2023889475728075,2.2956594992920154,-0.45084195899240603,0.07329582410459903,-0.12613649830840112,1.0501683945668918,0.5661220848512631,1.272778746921905,-1.530010554726449,-0.7916249751447905,-1.7160011190577986,2.3944746146340434,-1.9839575427416847,-0.8399625088400797,1.0309916931197531
30.894528867129864,-1.5985175315507978,-1.060243651384479,-2.140817503447414,-0.25094890021526617,-0.011313288174599645,0.0381576434596842,-0.40245772865559504,1.7828081693872524,-0.7006055773697055,0.4405795869503194,-0.41755032154493116,1.004779901192423,0.5192581340683603,0.9292119005193119,-1.9567729625321357,-0.5915885193862611,-1.323956056596424,1.786746748951297,-1.720153798300133,-1.7250426380154908,1.1898375646122386
31.08843652031277,-1.0547712155353284,-0.9728925665007915,-1.7021288352248696,-0.12216428407920599,0.5794862524445823,0.5515418923079449,-0.602526509738368,1.2699568394825276,-0.9503691957469865,0.8078633497960127,-0.7089641447814399,0.9593914078179575,0.47239418328546096,0.5856450541167441,-2.3835353703377913,-0.3915520636277463,-0.931910994135078,1.1790188832685953,-1.4563500538586005,-2.6101227671908376,1.348683436104712
31.282344173495687,-0.511024899519819,-0.8855414816170977,-1.2634401670022926,0.006620332056863687,1.1702857930638073,1.0649261411562434,-0.8025952908211554,0.7571055095777648,-1.200132814124286,1.175147112641733,-1.0003779680179699,0.9140029144434888,0.42553023250255817,0.242078207714151,-2.810297778143478,-0.19151560786921695,-0.5398659316737033,0.5712910175858488,-1.1925463094170488,-3.4952028963662487,1.5075293075971972
31.476251826678592,0.03272141649565041,-0.7981903967334101,-0.8247514987797477,0.13540494819292392,1.7610853336829893,1.578310390004504,-1.0026640719039284,0.24425417967303975,-1.449896432501567,1.5424308754874263,-1.2917917912544785,0.8686144210690234,0.37866628171965877,-0.10148863868841684,-3.237060185949133,0.008520847889297856,-0.14782086921235726,-0.03643684809685288,-0.9287425649755163,-4.380283025541595,1.6663751790896706
31.67015947986151,0.13385797410855452,-0.9985837244760043,-0.5911258160933648,0.22256189831110532,1.4146004241793566,1.2955646722124814,-1.103750903380883,-0.0792340630340283,-1.2044693796649752,1.3568311730987155,-1.3691796454356244,0.5896803669134154,0.029938742225107062,-0.4483259613357726,-3.1925448107496472,0.08818336484984392,-0.014617974612262823,-0.3046424403875172,-0.9235669216764417,-4.371751091368442,1.3446416766806768
31.864067133044415,0.08357540384689024,-1.2974159302223045,-0.4276532600377952,0.29547780479158303,0.7474655712126972,0.7404587026751328,-1.1709754889400485,-0.33794019696292,-0.7896349919394549,0.9820871273403627,-1.3733480891504561,0.23084914722744576,-0.42205791972339435,-0.7962821311194692,-2.9868028255747263,0.12666532380055168,0.03003365203528706,-0.45669567599140803,-1.006869312978733,-4.05750976710239,0.8584994410949006
32.05797478622732,0.03329283358522597,-1.5962481359686045,-0.26418070398222554,0.3683937112720607,0.08033071824603777,0.185352733137784,-1.2382000744992139,-0.5966463308918117,-0.37480060421393446,0.60734308158201,-1.3775165328652879,-0.127982072458524,-0.8740545816718956,-1.1442383009031656,-2.781060840399806,0.1651472827512594,0.07468527868283693,-0.6087489115952989,-1.0901717042810242,-3.743268442836337,0.37235720550912443
32.25188243941024,-0.01698973667644199,-1.8950803417149262,-0.10070814792664395,0.4413096177525438,-0.5868041347206703,-0.36975323639960544,-1.3054246600583843,-0.8553524648207224,0.04003378351161624,0.23259903582362962,-1.3816849765801198,-0.48681329214451985,-1.3260512436204301,-1.4921944706868877,-2.57531885522487,0.20362924170196997,0.11933690533039007,-0.7608021471992008,-1.1734740955833214,-3.4290271185702617,-0.11378503007668739
32.44579009259314,-0.06727230693810626,-2.1939125474612267,0.0627644081289257,0.5142255242330215,-1.2539389876873297,-0.9248592059369543,-1.3726492456175499,-1.1140585987496143,0.45486817123713674,-0.14214500993472323,-1.3858534202949515,-0.8456445118304896,-1.7780479055689316,-1.8401506404705843,-2.369576870049949,0.24211120065267772,0.16398853197793994,-0.9128553828030916,-1.2567764868856126,-3.114785794304209,-0.5999272656624637
32.63969774577606,-0.278420738585961,-1.9507827890022094,0.43065746441288877,0.47863292175664696,-1.2276624386845643,-1.2047500580903157,-1.2262168384128462,-0.8824203924431582,0.6218557004519707,-0.3279945880980752,-1.1868144361203148,-0.6231004443157696,-1.7706057708803193,-1.475376325076588,-2.286442495443938,0.4261363415459929,0.563225548888083,-0.8131670275081937,-1.4988124267191876,-2.5489223553741907,-0.46395594685404723
32.833605398958966,-0.5565966124780392,-1.4818355454576713,0.88372572912531,0.39782844054825484,-0.9124644721945443,-1.369967944666988,-0.9907606842232135,-0.44647204437200017,0.6855737052873357,-0.435138138096825,-0.9031056903250878,-0.15831667380078784,-1.5717308042595792,-0.8136309741919272,-2.254394625241647,0.6708044749153748,1.1102064784075967,-0.6085863426721454,-1.806987345107438,-1.8782163686675797,-0.0687706470480679
33.027513052141884,-0.8347724863701376,-1.0128883019130985,1.3367939938377644,0.3170239593398568,-0.5972665057045013,-1.5351858312436724,-0.7553045300335633,-0.010523696300810181,0.7492917101227056,-0.5422816880955827,-0.6193969445298398,0.306467096714228,-1.372855837638825,-0.1518856233072181,-2.222346755039354,0.9154726082847746,1.6571874079271505,-0.4040056578360819,-2.1151622634957112,-1.2075103819609196,0.32641465275794057
33.22142070532479,-1.1129483602622157,-0.5439410583685602,1.7898622585501855,0.23621947813146466,-0.2820685392144815,-1.7004037178203446,-0.5198483758439306,0.42542465177034794,0.8130097149580706,-0.6494252380943325,-0.33568819873461275,0.7712508672292098,-1.1739808710180848,0.5098597275774428,-2.190298884837063,1.1601407416541565,2.204168337446664,-0.19942497300003348,-2.423337181883962,-0.5368043952543089,0.7215999525639198
33.41532835850769,-1.391124234154294,-0.07499381482402212,2.242930523262607,0.15541499692307253,0.03312942727553847,-1.8656216043970169,-0.2843922216542978,0.8613729998415061,0.8767277197934358,-0.7565687880930823,-0.05197945293938555,1.2360346377441913,-0.9751059043973449,1.1716050784621035,-2.1582510146347724,1.4048088750235386,2.751149266966178,0.005155711836014931,-2.7315121002722127,0.13390159145230207,1.1167852523698993
33.60923601169061,-1.4800692615805895,0.09456619896182768,2.1240587024396556,0.08164069640271032,0.2227803680794716,-1.6331434667246438,-0.16170855123467565,1.1796370870322535,0.5537430950180637,-0.8182937921981788,0.25647485829997707,1.0964347745008742,-1.0361354378881342,0.6467361052000918,-2.1817515386690682,1.6744643966067225,2.7213533411250306,0.19303755939180414,-2.4876361600403873,0.5807899634291818,0.8299335242825145
33.80314366487352,-1.474398865773984,0.11443259786831433,1.719216838849031,0.011381486226371196,0.34965779604034064,-1.201817316927774,-0.09541112270007263,1.4390590437827606,0.03740715543735873,-0.8573095233564416,0.5773019522613737,0.6546430943784228,-1.2271172214346815,-0.4714400301351984,-2.2330262598216546,1.9566136122967783,2.4031689876035562,0.37256998830744326,-1.9677347904985507,0.915769528041147,0.20206328224847958
