id,sbid,uniq_name,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,mwdet
247,33047,J061229-704413-33047,J061229-704413,SB33047_component_116a,93.123958,-70.737198,281.1753402842002,-28.69226172204312,B,38.33700180053711,42.44200134277344,0.0001772385026292,0.1989570457087962,1.3448057332179335,1.1819958889496112,1.6163190957547169,104.0,0.2715133625367831,3.266975022674189,1.3037439233725705,0.6493630109737679,False,False,5.045000076293945,3.8450000286102295,83.91999816894531,1.24651109207944e+20,False,0.0146338694943344,False
248,33047,J051222-673220-33047,J051222-673220,SB33047_component_117a,78.093461,-67.538981,278.09407875432333,-34.32132621903309,B,37.70000076293945,46.229000091552734,0.0002041998586719,0.1145963253113887,1.4742691561418602,1.990605244655926,1.4929668196015875,167.0,0.0186976634597276,292.71808467323007,3.979356711605999,2.1735646844590493,False,True,5.079999923706055,4.230000019073486,88.68000030517578,2.3061748266941143e+21,True,-0.0135851573836034,False
249,33047,J054135-680041-33047,J054135-680041,SB33047_component_118a,85.396313,-68.011489,278.1612878525653,-31.52126016748039,B,35.85699844360352,38.33399963378906,0.0002815289845762,0.0862845240711139,0.7737298110201725,1.275774289251363,1.3399853028811122,91.0,0.5662554918609397,264.1740316695334,0.5687099035812587,0.1540572654001892,True,False,4.900000095367432,3.819999933242798,76.7300033569336,1.42149781287583e+21,False,-0.0042096267092523,True
252,33047,J055105-710611-33047,J055105-710611,SB33047_component_119a,87.770763,-71.1033,281.66937164744724,-30.426962644067174,B,37.922000885009766,58.604000091552734,0.0001946633323447,0.0841875492437018,0.6449317524707899,0.9311534170409173,1.3339619456329943,62.0,0.6890301931622044,150.47399143007857,0.3724701872127954,0.1152934910138629,False,False,7.050000190734863,3.839999914169312,80.23999786376953,1.0322688545820824e+21,False,0.0057615799935318,False
253,33047,J053644-711335-33047,J053644-711335,SB33047_component_120a,84.183191,-71.22665,281.965933992887,-31.5634826295657,B,36.98199844360352,40.75699996948242,0.0002238551988717,0.0997843790078634,0.946445055715501,1.519277228828449,1.3756811854150846,86.0,0.4292361296995836,245.86249106526805,0.8457480925988815,0.2564067396529772,False,False,4.994999885559082,3.865000009536743,76.91999816894531,3.473776095294409e+21,False,-0.0024814568640288,False
254,33047,J055653-682229-33047,J055653-682229,SB33047_component_121a,89.221638,-68.374865,278.4828107749671,-30.08101256410652,B,38.345001220703125,59.64699935913086,0.00018501991539,0.0896772569647435,1.2369723676173334,1.7145118942566178,1.4556886894599828,147.0,0.2187163218426493,278.2118564650622,1.5199797228877991,0.3627670280114365,False,True,6.795000076293945,4.010000228881836,84.83000183105469,7.361182874745101e+20,False,-0.0018432603426186,False
255,33047,J050538-710741-33047,J050538-710741,SB33047_component_122a,76.411426,-71.128148,282.47761707421284,-34.03401487900529,B,32.72600173950195,54.446998596191406,0.0002333567579892,0.0916469762810603,0.6603153287688249,1.1686406221416876,1.304483519319451,77.0,0.6441681905506261,-16.79071182603322,0.4397954215242604,0.1390651937605935,False,False,6.380000114440918,4.570000171661377,70.77999877929688,5.586805956098652e+20,False,-0.0003489669509704,False
256,33047,J050540-710741-33047,J050540-710741,SB33047_component_122b,76.420046,-71.128082,282.4766167505944,-34.0313519845379,B,25.21999931335449,36.367000579833984,0.000250173192221,0.1151501931227913,0.6686828812889626,1.1436079584413776,1.3119427125915148,57.0,0.6432598313025523,-81.28466275019228,0.4412065441398743,0.1647414153712,False,False,5.875,4.300000190734863,64.69000244140625,5.586805956098652e+20,False,0.0011804044862538,False
257,33047,J060533-673605-33047,J060533-673605,SB33047_component_123a,91.387731,-67.601594,277.58379276421743,-29.276824889325,B,32.48699951171875,39.65999984741211,0.0002300772491874,0.1557193178002653,1.0013228219872934,1.137267597718445,1.4685060602875446,72.0,0.4671832383002512,-82.20837519779914,0.7610337250375441,0.2876685418558377,False,False,5.244999885559082,4.079999923706055,81.02999877929688,1.911788253121324e+19,False,0.0040335186236839,False
258,33047,J060527-673617-33047,J060527-673617,SB33047_component_123b,91.366252,-67.604817,277.5873807799773,-29.285044965642246,C,18.41699981689453,27.73900032043457,8.184797194514164e-05,0.3152858926239965,1.931779031865831,0.9231880982885976,2.0044670272163594,86.0,0.0726879953505282,90.75057993043994,2.621579033929869,1.6750492739380234,False,False,6.34499979019165,4.159999847412109,82.95999908447266,1.911788253121324e+19,False,0.0011383425704542,False
