id,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,field,all_sbids,sbid,mwdet
283,J040532-733554,SB38758_component_153a,61.386774,-73.598471,287.5396190498827,-37.14664657501452,B,26.972999572753903,33.2599983215332,0.0001376059570292,0.1252946605142008,0.9758129145326964,1.4688020646302118,1.3952576549221487,111.0,0.4194447403894522,2.6900372552687912,0.8688234890712233,0.3570445025219432,False,False,5.230000019073486,4.525000095367432,38.369998931884766,3.0156331758192925e+20,False,0.0042499351647416,M355-02,38758,38758,False
288,J040907-721916,SB38758_component_156b,62.279426,-72.321267,286.0054568431633,-37.60856738961545,B,18.042999267578125,39.31499862670898,9.367315039814524e-05,0.090974764872948,1.2471663991605757,2.6130112042846867,1.3451875260396522,170.0,0.0980211268790766,6.673837673705886,2.3225722431469387,0.812184319024637,True,False,7.039999961853027,5.945000171661377,49.06999969482422,1.1923247475478276e+20,False,0.0044705623896393,M355-02,38758,38758,True
291,J044505-735010,SB38758_component_157a,71.270975,-73.836335,286.18999812651333,-34.592614755350866,B,25.68000030517578,27.702999114990234,0.0001488914864882,0.1750168724583125,1.0796395466135758,1.0668666465940262,1.5223556867554593,100.0,0.4427161401418835,303.70213457409415,0.8148264814901032,0.3337386225233951,False,False,4.949999809265137,4.184999942779541,55.84000015258789,2.282704365782614e+20,False,-0.0020680500493728,M355-02,38758,38758,False
292,J044334-742817,SB38758_component_158a,70.8919,-74.471609,286.9476724535612,-34.436027321302745,B,19.82999992370605,42.82400131225586,9.220457304320184e-05,0.1093634008012618,1.1874171522322832,2.058296730379407,1.388260936369302,154.0,0.2008437841370188,5.15562013063328,1.6052278664425503,0.5611841758403353,False,False,6.760000228881836,6.130000114440918,135.0500030517578,4.1510334036428666e+20,False,0.0058799766501897,M355-02,38758,38758,False
295,J040939-731456,SB38758_component_160a,62.412468,-73.249163,286.9729379217499,-37.08796745662222,B,25.73600006103516,27.378999710083008,0.0001497291898203,0.1804513923256502,1.3632699377376607,0.9861233409381782,1.6863974203604584,65.0,0.3231274826227976,-0.5865868162794795,1.1297083505836276,0.5621129491741911,False,False,4.965000152587891,4.114999771118164,50.43999862670898,1.7914552220947277e+20,False,0.0184028329233742,M355-02,38758,38758,False
299,J043157-724449,SB38758_component_164a,67.988833,-72.746973,285.450081151674,-35.900618588785434,B,24.608999252319336,26.16399955749512,0.0001223892901151,0.1624166935835643,1.396147725229186,1.385212564580643,1.585334718574506,124.0,0.1891869933453197,5.272054121223948,1.665019370259578,0.7933915116695116,False,False,4.925000190734863,4.144999980926514,51.97999954223633,1.378608338500707e+20,False,0.0028198195812031,M355-02,38758,38758,False
302,J042638-735903,SB38758_component_167a,66.660676,-73.984214,287.02303892412647,-35.68326545955326,B,23.9950008392334,25.86100006103516,0.0001458033534845,0.1582473160559347,1.3022200811308906,1.353640485562715,1.5532790964120216,109.0,0.2510590152811308,3.2949058030530725,1.382067246844924,0.6758005700643183,False,False,4.960000038146973,4.175000190734863,50.380001068115234,1.587760137902084e+20,False,0.005831427778376,M355-02,38758,38758,False
311,J035555-723214,SB38758_component_172a,58.982679,-72.537316,286.9272001119336,-38.32188665913709,B,24.32200050354004,25.95400047302246,0.0001292014495533,0.1990057495690275,1.3379579446090353,0.9257363819760056,1.6947773107117348,100.0,0.3568193661026995,9.213229055928707,1.0305256025555716,0.4868468277807736,False,False,4.929999828338623,4.15500020980835,43.15999984741211,1.0148912609270946e+20,False,0.0012177892670346,M355-02,38758,38758,False
312,J041420-753358,SB38758_component_173a,63.585016,-75.566123,289.20510567479045,-35.59304203833135,B,24.33799934387207,23.042999267578125,0.0001957292525043,0.1321270789160719,0.8321017019590643,1.5215590601137676,1.3299949285826054,55.0,0.4978932266235411,371.0757196583994,0.6973696293157865,0.2354192019690957,False,False,4.559999942779541,3.990000009536743,49.130001068115234,3.426263801671139e+20,False,-0.0190933723638635,M355-02,38758,38758,False
313,J040455-732752,SB38758_component_174a,61.228991,-73.464659,287.4299401929163,-37.257437172034734,B,22.874000549316406,23.81100082397461,0.0001129835614381,0.1826844533632063,1.4779117174519962,0.783412532645239,1.8286987392983551,84.0,0.3507870218463589,0.6737683278963523,1.0475760150454434,0.5566943731022305,False,False,4.925000190734863,4.059999942779541,50.18999862670898,2.621276725828852e+20,False,0.0033239012661425,M355-02,38758,38758,False
