id,comp_name,component_id,ra,dec,glon,glat,rating,flux_peak,flux_int,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,has_mw_abs,has_other_abs,semi_maj_axis,semi_min_axis,pa,n_h,noise_flag,continuum_slope,field,all_sbids,sbid,mw_detection,saturated
25,J052340-705019,SB33047_component_10a,80.920379,-70.838815,281.7276388036243,-32.67432553693909,A,217.218002319336,327.1440124511719,0.0009364089108691,0.0146769919437195,0.3133725745215464,7.716226046549014,1.03595278195494,54.0,0.7225802074333937,222.14597916363584,0.3249268514084782,0.0236075382878169,True,True,5.429999828338623,4.860000133514404,34.040000915527344,7.418138710533817e+20,False,-0.0008247455545615,M000+02,33047,33047,True,False
26,J052341-705122,SB33047_component_10b,80.92098,-70.856253,281.74790944750794,-32.670724228065005,B,211.63699340820312,366.489013671875,0.0009177791497034,0.0138312127668954,0.1360267293575953,2.1060349391759288,1.0437943332967416,87.0,0.9077676039391464,228.98363238320545,0.0967668759380884,0.0181784140368483,False,True,5.960000038146973,5.090000152587891,7.840000152587891,7.418138710533817e+20,False,0.0008369477622735,M000+02,33047,33047,False,False
36,J055206-681440,SB33047_component_15a,88.024816,-68.244455,278.3525709826351,-30.52824247257012,A,180.2079925537109,196.55499267578125,0.001207591312733,0.023161122238951,0.4712769738822355,6.390743745394412,1.0637658387460551,88.0,0.5924888648638196,282.991766063082,0.5234231996282359,0.050663385772562,False,True,4.885000228881836,3.910000085830689,80.80000305175781,1.5180689029008885e+21,False,-0.0029757678333009,M000+02,33047,33047,False,False
37,J055206-681500,SB33047_component_15b,88.025639,-68.249966,278.358943470487,-30.5276650112638,B,24.117000579833984,36.70899963378906,0.0001493034849817,0.1214354224029317,0.8190976987581414,1.127536022147374,1.3849982751085954,88.0,0.565900576350454,291.78541465960427,0.5693368763672152,0.2279826934002476,False,False,5.519999980926514,4.829999923706055,71.9000015258789,1.5180689029008885e+21,False,-0.0064743314036236,M000+02,33047,33047,False,False
40,J053845-690509,SB33047_component_17a,84.689575,-69.085994,279.4471037123525,-31.66900298578808,A,108.18499755859376,1190.333984375,0.0001513566363073,0.0094514967040012,0.5364671688463006,11.409900753555773,1.043228965283432,133.0,0.5067617964371315,259.00348299526905,0.6797142153079827,0.0289967544472139,True,True,15.135000228881836,12.734999656677246,150.1699981689453,4.6349343509286224e+21,False,-0.0140835704691597,M000+02,33047,33047,True,False
41,J053851-690457,SB33047_component_17b,84.715121,-69.082713,279.44206150354177,-31.660312940624465,A,100.49400329589844,6738.4638671875,4.0244063822639166e-05,0.0075479010481983,0.6941610972222669,26.377530862949666,1.0253551388800253,132.0,0.3311940416577583,253.1437522684049,1.105050846796631,0.0346371156148013,True,True,51.80500030517578,22.674999237060547,120.69000244140624,5.00183506985589e+21,False,-0.0172222108966809,M000+02,33047,33047,True,False
18,J050200-693150,SB38814_component_11a,75.499646,-69.530812,280.7173049455035,-34.76615012484136,A,122.35199737548828,180.65899658203125,0.0013917524789221,0.0127735425080899,0.5888345184820625,10.955997392620356,1.0492501377463923,99.0,0.4604156192643301,10.218189225926224,0.7756256772877739,0.0298438774763649,True,True,5.909999847412109,4.715000152587891,71.5999984741211,2.446210207371945e+20,False,0.0032920862338064,M355+02,"33047,38814",38814,True,False
20,J050202-693154,SB38814_component_11c,75.511085,-69.531802,280.71713879759767,-34.76203153204836,A,80.4219970703125,161.4429931640625,0.0008672373891075,0.0144582177762047,0.639203039545128,10.84470824744708,1.0539652835841606,108.0,0.4147622440390325,10.21767463472874,0.88004982885479,0.0373573559179334,True,True,7.019999980926514,5.394999980926514,84.58000183105469,2.446210207371945e+20,False,0.0027151855424204,M355+02,"33047,38814",38814,True,False
19,J050200-693158,SB38814_component_11b,75.501763,-69.532842,280.719437223284,-34.76488495814618,A,84.13600158691406,169.13499450683594,0.00101138660812,0.0125240434161563,0.6357387541496822,11.199161466693182,1.0521133158115343,125.0,0.4163745616618521,10.219346830510142,0.8761700352173262,0.0323145847119992,True,True,6.429999828338623,5.900000095367432,82.6500015258789,2.446210207371945e+20,False,0.0033329490640632,M355+02,"33047,38814",38814,True,False
21,J050201-693151,SB38814_component_11d,75.506567,-69.531073,280.71680841943817,-34.76375022549421,A,66.06800079345703,124.4000015258789,0.0011306593035597,0.0116611071785615,0.6286363038291731,14.417990321743062,1.040772908187823,106.0,0.4121366043586498,10.21764872550906,0.8864004206104937,0.0304279539503724,True,True,6.639999866485596,5.349999904632568,22.8700008392334,2.446210207371945e+20,False,0.0030611824481586,M355+02,"33047,38814",38814,True,False
49,J052951-674938,SB33047_component_20b,82.464473,-67.827363,278.09308127950663,-32.63703686186251,B,61.803001403808594,77.01799774169922,0.0007561949871781,0.0254069027946047,0.2014465460543134,0.9245852107017402,1.1046701101796694,103.0,0.903223564125356,238.462518256502,0.1017851768885226,0.0283352046071963,False,True,5.150000095367432,4.239999771118164,73.5199966430664,1.5124475458857554e+21,False,-7.902844404715379e-05,M000+02,33047,33047,False,False
51,J053657-691329,SB33047_component_21a,84.238142,-69.224771,279.63140849563405,-31.812164037339027,A,154.3350067138672,174.84100341796875,0.0008940502057823,0.0292001739454797,1.0748742436266956,9.5761761583946,1.101631650941587,97.0,0.0267574073148914,250.13371511946755,3.620943935004429,0.9931630416199512,False,True,5.074999809265137,3.910000085830689,76.77999877929688,4.425588280597635e+21,False,-0.0249994855700476,M000+02,33047,33047,False,False
