comp_name,sbid,uniq_name,ra,dec,glon,glat,in_bridge,rating,flux_peak,mean_cont,sd_cont,opacity_range,max_s_max_n,max_noise,num_chan_noise,semi_maj_axis,semi_min_axis,pa,min_opacity,vel_min_opacity,peak_tau,e_peak_tau,n_h,ew,sigew,ewfit,sigewfit,nhicnm,signhicnm,nhiwnm,signhiwnm,fcnm,sigfcnm,Rfactor,sigRfactor,nhi,signhi,nhi_thin,signhi_thin,ncnm,tsky,flux_int,ra_hr,tau_noise_per_channel
J041648-785512,38509,J041648-785512-38509,64.199981,-78.920118,292.5444963284885,-33.66449105042929,1,B,27.667999267578125,0.000103208867641,0.121215645181326,1.0470288068812237,2.674600933941172,1.2849367389013966,66.0,7.150000095367432,5.144999980926514,153.7899932861328,0.237907932020173,2.610557196329479,1.4358715204040282,0.5651771492067674,2.06506442642162e+20,4.11450354308526,0.962646414807253,0.962646414807253,0.02373465529321,2.868752964263966,0.1501222238508207,3.6957519621033055,0.1592815061115892,0.4361042672007652,0.0271797360169776,1.128276476662177,0.0436223047689165,6.564504926367271,0.2188773178817123,5.82430780037242,0.1146224383907121,1,3.3454752707542275,51.630001068115234,4.279998733333333,0.12597609612807073
J041648-794855,38509,J041648-794855-38509,64.201585,-79.815468,293.4374470748196,-33.168370262594244,1,B,15.925999641418455,0.0001567467662403,0.126847743412646,1.17796765270581,1.4530266327629056,1.4802098913125274,95.0,5.045000076293945,4.335000038146973,60.95000076293945,0.3022422386067174,3.2190691614402023,1.1965264685374768,0.451006223034776,5.906495718311251e+19,2.8076326447129127,0.9548787421450864,0.9548787421450864,0.0255352227932497,1.8528500528526872,0.1436942904456644,4.506287926565543,0.2304973045079172,0.2975742333825038,0.0256379279286068,1.0757420574591827,0.0526429563862639,6.359137979418227,0.2716193227517117,5.9158048638694085,0.1354103126718167,1,3.3454752707542275,17.663000106811523,4.280105666666667,0.1387714323993069
J041706-760949,38509,J041706-760949-38509,64.278481,-76.163725,289.7175045955036,-35.133488098615395,1,B,30.677000045776367,0.0001715568283188,0.1827212435527007,1.4425089043610395,1.6883269853001306,1.5365823846015498,73.0,4.909999847412109,4.300000190734863,52.119998931884766,0.09407348024051,3.670930042433567,2.3636790973978337,1.3480877267471647,2.5848614661051666e+20,4.52883460439559,0.9992260017692548,0.9992260017692548,0.0016235133915367,4.718886350745061,0.3500539796286548,3.2217900234883694,0.1874538155371803,0.5927545965348551,0.0522897350900416,1.398488654907765,0.0736758568501729,7.940676374233428,0.3970852825443243,5.679687463379619,0.107743041662383,1,3.3272260441540347,32.84600067138672,4.285232066666667,0.1978066414987632
J041714-712154,38758,J041714-712154-38758,64.31196,-71.365189,284.5613188867607,-37.53856869771054,1,B,45.99800109863281,0.0002559026237044,0.0992481786811044,0.9617374585168644,2.561016637189895,1.270073845899187,59.0,4.920000076293945,4.139999866485596,46.59000015258789,0.3083363873823224,4.830794074812991,1.1765639251631277,0.3751682386736081,0.0,3.7686056385520352,0.95124061096505,0.95124061096505,0.0259654559304501,1.4219889574580156,0.0865337782058644,6.579055750979852,0.1643376876896892,0.1756605725307439,0.0115463732546271,1.0634519836757876,0.0315646792113798,8.001044708437869,0.1857282163963666,7.533634458028738,0.1362555309782501,1,3.3059352024366406,48.80400085449219,4.287464,0.1050410529747299
J041737-780347,38509,J041737-780347-38509,64.407253,-78.063197,291.65201294857644,-34.09697171013213,1,A,280.03399658203125,0.0015519626102149,0.0110748341952933,0.7444029204079442,18.52498620900581,1.0381256566555008,150.0,4.945000171661377,4.329999923706055,54.2400016784668,0.2937227362475566,2.990966980527606,1.2251190306054156,0.0536312198065955,1.0544866769779206e+20,2.0769613590293865,1.013358385711783,1.013358385711783,0.0166464899459733,2.650756666692253,0.0883587952063519,3.793579731907181,0.29588977301413,0.4112623622348045,0.0241847511326245,1.1792415470013222,0.0693864608148429,6.444336398599434,0.3088009625384471,5.484093994793946,0.1761431194742067,2,3.3606829982629725,304.29901123046875,4.293816866666666,0.0113242187641731
J041752-753009,38758,J041752-753009-38758,64.469338,-75.50265,288.9964929046667,-35.43814516626387,1,B,42.14599990844727,0.0003353492396765,0.0509137086066992,0.6277767090953862,2.855965273447828,1.1628066293589976,69.0,5.559999942779541,4.744999885559082,112.36000061035156,0.5350299202636114,4.507843709350884,0.6254326079235392,0.1267859026430592,2.9303647909851808e+20,2.606857793531009,1.339221304040544,1.339221304040544,0.097010883103566,2.849986860095764,0.1179951724876989,3.5716982344418367,0.1963496766245047,0.4481160558533242,0.0249687370299145,1.1123075786533574,0.0466351455897494,6.421685094537599,0.2290765292232039,5.827040175209831,0.1136522241374992,2,3.400223124593436,57.867000579833984,4.297955866666666,0.05204779041751077
J041755-753016,38758,J041755-753016-38758,64.482455,-75.504631,288.9964930385321,-35.43431042275151,1,B,46.45500183105469,0.000281249071477,0.065217177681758,0.8647469960173211,1.854377504560013,1.3029546703741337,258.0,5.300000190734863,4.880000114440918,93.5199966430664,0.4382076743568127,3.530594994770101,0.8250623386085126,0.2011626725833203,2.9303647909851808e+20,0.3736659168939727,0.8859730475428348,0.8859730475428348,0.028310002350394,2.673933546084348,0.0872691242638689,3.958307134434008,0.1816704880009102,0.4063182377234724,0.0180338998247308,1.0848478242422996,0.038717544134994,6.632240680518356,0.2015442042338887,6.176459322105454,0.1162283206605882,1,3.400223124593436,62.60100173950195,4.298830333333333,0.06460643118053858
J041820-733133,38758,J041820-733133-38758,64.586821,-73.525948,286.8720599525435,-36.41236076878897,1,B,52.89899826049805,0.0002187853551288,0.0682290332833315,0.623786744228542,1.7088861471018768,1.230274256781115,98.0,5.385000228881836,4.849999904632568,91.3499984741211,0.6064875125525727,2.254834729209557,0.5000711401709643,0.1449351097979414,1.2948366048827128e+20,1.4150289065459456,1.2988615730041273,1.2988615730041273,0.1003067714524177,1.2326625251226957,0.132910017735663,5.290972965072882,0.7356644265594355,0.1918756369446421,0.0292606283619652,1.157409619196596,0.1303634121740495,6.523635490195579,0.7475742246222227,5.732202571098754,0.141117830208138,2,3.308976759540965,71.93399810791016,4.305788066666667,0.06907504776066242
J042116-753837,38758,J042116-753837-38758,65.318028,-75.643875,289.012997176495,-35.184235827208674,1,B,16.395999908447266,0.0001048803844419,0.1360021712316029,1.0487421969342292,1.659325817167988,1.3943639362141311,63.0,6.675000190734863,4.300000190734863,31.11000061035156,0.3456217392799022,-118.73198384661788,1.0624103410215715,0.3318387755126672,0.0,3.7336086134367648,0.883624813823179,0.883624813823179,0.0644781952638079,2.234386536963884,0.1629876094735554,4.290878724111533,0.253323294219298,0.3427601527330299,0.0287955194500082,1.1127838004546056,0.0575972928244566,6.525265261075416,0.3012269115401564,5.884739993888807,0.1179368821947148,1,3.400223124593436,24.525999069213867,4.3545352,0.13037094939770844
J042347-735736,38758,J042347-735736-38758,65.94914,-73.960206,287.1114436583337,-35.86773004597601,1,B,76.9020004272461,0.0003650382515355,0.0429491285616074,0.5025067804357266,1.6214855404293056,1.1916877940716903,119.0,5.835000038146973,4.425000190734863,50.810001373291016,0.6891810136359637,6.287937775368584,0.37225132311763,0.0822650880177793,1.6125247636312352e+20,1.5638880717125347,1.200640826765916,1.200640826765916,0.1048304444255242,3.8417765970983,0.2543113937256022,3.611474257355249,0.903068755772974,0.5177600685464577,0.1055677142577041,1.0592353769375429,0.1833750292185124,7.4532508544535485,0.9381937234025846,7.051531587834556,0.1780168010346206,2,3.308976759540965,103.43000030517578,4.396609333333333,0.0436500332220449
