comp_name,sbid,ra,dec,glon,glat,widwnm,sigwidwnm,tdwnm,sigtdwnm,nhicpn_wnm,signhicpn_wnm
J002907-735349,30665,7.280587,-73.896955,305.0496637464756,-43.139415451722925,20.86036196576013,4.8523147726354106,9512.481771347746,4425.383979366994,1.5227772554074457,0.8979688841461971
J004957-723554,30665,12.488044,-72.598387,303.0877408301689,-44.52941466073938,12.989411046874627,0.7943889850371004,3688.324113674456,451.13116192511137,2.513019785741651,0.2716271502971705
J003939-714141,30665,9.915838,-71.694789,304.2482490563259,-45.40335606279209,8.477399021003805,0.4969084432391914,1570.9971903663738,184.17011308868717,1.6211509476246533,0.17609385370726183
J005337-723143,30665,13.407565,-72.528644,302.7008249570573,-44.59862345911304,8.779866118062943,2.4211910830795653,1685.1010322572567,929.3881110546091,1.646247989401832,0.6114097187148531
J005337-723143,30665,13.407565,-72.528644,302.7008249570573,-44.59862345911304,22.09337469966652,4.673465276342854,10670.242114850242,4514.204524370506,0.7199820420654339,0.37990060322600533
J002248-734007,30665,5.700254,-73.668709,305.6921770836646,-43.30572836425145,7.799785781739127,0.5469141643493569,1329.8893491486938,186.5013584782307,1.9997380014320463,0.1766767590096588
J003414-733327,30665,8.560384,-73.557659,304.60855105258173,-43.51456609791139,4.737916848625988,1.171266359981082,490.7101335698392,242.61813379812952,1.039110107375519,0.5505979687446058
J003414-733327,30665,8.560384,-73.557659,304.60855105258173,-43.51456609791139,6.86654753753125,3.9162823048918654,1030.6875253619578,1175.6893243322866,0.768310226859247,0.236141332619697
J003414-733327,30665,8.560384,-73.557659,304.60855105258173,-43.51456609791139,17.042577316128593,4.867242320796374,6349.224792856188,3626.5894580150552,0.47861970170020024,0.34479120663408097
J003412-733314,30665,8.55182,-73.554108,304.6123308214911,-43.5178787522379,9.749939886635952,0.8769093548017792,2078.0406255553007,373.79784601652995,1.7758700379187449,0.29285935032002386
J012250-715042,30665,20.711017,-71.845136,299.47653391268415,-45.07181288597565,13.755838800580952,0.6164998586220634,4136.416990211445,370.76626538536607,2.5867453193388137,0.17084505065893626
J003749-735127,30665,9.457592,-73.857516,304.22951517694594,-43.23643438568215,8.0784048877926,0.3387960771451104,1426.5972741100943,119.65866203729608,1.9662239057753526,0.17097531323371515
J012257-751507,30665,20.73843,-75.25196,300.2525491105543,-41.71192386023117,13.656907536226223,0.7784056394446476,4077.1331586832925,464.770437240994,2.595491925389459,0.21114193200952422
J010218-754650,30665,15.578921,-75.780817,302.04268290769085,-41.32864730297864,16.991843899864833,1.2520185881265045,6311.479514305789,930.103844769119,3.0423926461734645,0.3288234152549134
J004222-754838,30665,10.594519,-75.810583,303.6708289881266,-41.30466731927757,18.43703871074326,0.7512276111257018,7430.7473057727975,605.5400365506318,3.1263601791120976,0.17533817423854284
J011321-752819,30665,18.33902,-75.472214,301.09691934741187,-41.5778507314739,17.30963646334189,0.9895084788863776,6549.770026818184,748.8375610912378,3.3786672730458056,0.2552954589498942
J011134-753809,30665,17.891682,-75.635839,301.2688258984274,-41.42734798908945,18.43013730283288,0.6065309566683018,7425.185347487805,488.72178196512846,3.1247414370004587,0.14330322364281134
J011136-753800,30665,17.900939,-75.633378,301.26543735648966,-41.42955624107121,17.883375101704026,0.529191210815304,6991.158195917489,413.75405365695076,3.3565308899047186,0.13551705692154273
J010251-753523,30665,15.714832,-75.589857,301.9832440702127,-41.51734918068752,18.967148354822843,0.5257596176453837,7864.194387364955,435.98286435489734,3.81519824894791,0.13776905343629137
J011130-754504,30665,17.878847,-75.751368,301.289022991341,-41.31277367588268,3.512103104152221,0.26546035655922157,269.64021916231724,40.76121150139961,2.794006749890176,0.19923873787802693
J011130-754504,30665,17.878847,-75.751368,301.289022991341,-41.31277367588268,13.850626491728137,0.7855801244894105,4193.619213104078,475.70756535222125,0.7443379370854326,0.09019949328212284
J005019-755629,30665,12.579241,-75.941666,303.0223721904818,-41.18638830642894,5.317764633414148,0.3046192976472535,618.1706484230922,70.82175377434545,1.9538522761386168,0.14453313272128737
J005019-755629,30665,12.579241,-75.941666,303.0223721904818,-41.18638830642894,6.656742768675834,0.3021324944740379,968.6652229426314,87.93046397859372,1.5859429866133987,0.1279121802257594
J010811-754156,30665,17.048016,-75.698899,301.5540242472962,-41.38449715938118,4.756664657695206,0.5819677759924261,494.6012704336589,121.02682113259418,1.4184546581996917,0.30183749816045913
J010811-754156,30665,17.048016,-75.698899,301.5540242472962,-41.38449715938118,7.939998748666376,0.623425131299825,1378.1326616160843,216.41377101246823,1.2737032408245905,0.22435483566199438
J044512-654707,38373,71.30335,-65.785523,276.84407766556814,-37.36555313669011,23.37711331936031,0.702624473170804,11946.25887741622,718.1155119913922,2.458384346212454,0.08541345005071037
J053249-634813,38791,83.206237,-63.80387,273.300298742905,-32.77117846908394,13.556971391642813,1.1949821787903012,4017.681606640142,708.2788303216696,2.3073420711825587,0.3426500025160176
J053246-634819,38791,83.194437,-63.805473,273.30269551463186,-32.77624217415731,19.944246000209645,0.8536222981972202,8695.316654578963,744.3265778166029,2.632043822040058,0.16600240887340476
